GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cicd-pipeline,default,01_proxy,220,0,12,0,10,0,10,0,4,0
cicd-pipeline,default,03_libraries._run_closure1,47,0,0,0,1,0,4,0,4,0
cicd-pipeline,default,05_createPipemania_from_disk,211,0,2,0,15,0,5,0,4,0
cicd-pipeline,default,04_createPipemania,161,0,2,0,9,0,5,0,4,0
cicd-pipeline,default,greet,103,0,2,0,5,0,7,0,6,0
cicd-pipeline,default,02_plugins,176,0,8,0,9,0,8,0,4,0
cicd-pipeline,default,03_libraries,313,0,0,0,16,0,4,0,4,0
cicd-pipeline,default,02_plugins._run_closure1,196,0,10,0,8,0,11,0,6,0
cicd-pipeline,com.baloise.sharedlib.common,Registry,85,0,0,0,5,0,7,0,7,0
cicd-pipeline,com.baloise.sharedlib.demo.internal,GreetingImpl,19,87,2,4,0,3,4,4,2,3
