GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cicd-pipeline,default,mvn,115,0,8,0,1,0,11,0,7,0
cicd-pipeline,default,05_createPipemania_from_disk,211,0,2,0,15,0,5,0,4,0
cicd-pipeline,default,greet,71,0,4,0,1,0,8,0,6,0
cicd-pipeline,default,03_libraries,313,0,0,0,16,0,4,0,4,0
cicd-pipeline,default,01_proxy,220,0,12,0,10,0,10,0,4,0
cicd-pipeline,default,03_libraries._run_closure1,47,0,0,0,1,0,4,0,4,0
cicd-pipeline,default,04_createPipemania,161,0,2,0,9,0,5,0,4,0
cicd-pipeline,default,02_plugins,184,0,8,0,9,0,8,0,4,0
cicd-pipeline,default,02_plugins._run_closure1,196,0,10,0,8,0,11,0,6,0
cicd-pipeline,com.baloise.sharedlib.common,Registered,38,27,1,1,0,0,7,4,6,4
cicd-pipeline,com.baloise.sharedlib.common,Registry,19,102,0,0,1,3,3,2,3,2
cicd-pipeline,com.baloise.sharedlib.demo.internal,GreetingImpl,12,70,2,4,0,2,2,4,0,3
cicd-pipeline,com.baloise.sharedlib.tools.internal,MavenImpl,214,5,10,0,6,0,7,1,2,1
cicd-pipeline,com.baloise.sharedlib.tools.internal,MavenImpl._mvn_closure1,68,0,0,0,1,0,4,0,4,0
